event_id,quote_id,event_type,actor_role,actor_id,timestamp,days_since_submission,comment_text,approver_ooo_flag
EVT-00001,Q-2025-00001,Submitted,AE,AE-021,2025-03-28T00:00:00,0,,False
EVT-00002,Q-2025-00001,Escalated,First Approver,APPR-010,2025-04-05T00:00:00,8,Escalated to Board for high-value deal approval.,False
EVT-00003,Q-2025-00001,Rejected,First Approver,APPR-010,2025-04-29T00:00:00,32,,False
EVT-00004,Q-2025-00001,Comment Added,First Approver,APPR-010,2025-04-30T00:00:00,34,Not approved in current form.,False
EVT-00005,Q-2025-00001,Rejected,First Approver,APPR-010,2025-05-04T00:00:00,37,,False
EVT-00006,Q-2025-00001,Comment Added,First Approver,APPR-010,2025-05-03T00:00:00,37,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00007,Q-2025-00001,Rejected,First Approver,APPR-010,2025-05-05T00:00:00,38,,False
EVT-00008,Q-2025-00001,Comment Added,First Approver,APPR-010,2025-05-07T00:00:00,42,Check the terms again.,False
EVT-00009,Q-2025-00001,Rejected,First Approver,APPR-010,2025-05-12T00:00:00,45,Please confirm entitlement details.,False
EVT-00010,Q-2025-00001,Resubmitted,AE,AE-021,2025-05-14T00:00:00,47,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00011,Q-2025-00002,Submitted,AE,AE-021,2025-01-19T00:00:00,0,,False
EVT-00012,Q-2025-00002,Comment Added,First Approver,APPR-010,2025-01-20T00:00:00,1,MCCA not yet signed by customer. Cannot approve until MCCA execution confirmed.,False
EVT-00013,Q-2025-00002,Rejected,First Approver,APPR-010,2025-01-21T00:00:00,2,Check auto-attached units.,False
EVT-00014,Q-2025-00002,Resubmitted,AE,AE-021,2025-01-26T00:00:00,7,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00015,Q-2025-00003,Submitted,AE,AE-021,2025-03-29T00:00:00,0,,False
EVT-00016,Q-2025-00003,Approved,First Approver,APPR-008,2025-04-01T00:00:00,3,,False
EVT-00017,Q-2025-00003,Comment Added,First Approver,APPR-008,2025-04-01T00:00:00,5,Check the terms again.,False
EVT-00018,Q-2025-00003,Rejected,First Approver,APPR-008,2025-04-05T00:00:00,7,Contract dates appear inconsistent.,False
EVT-00019,Q-2025-00003,Resubmitted,AE,AE-021,2025-04-10T00:00:00,12,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00020,Q-2025-00004,Submitted,AE,AE-023,2025-03-28T00:00:00,0,,False
EVT-00021,Q-2025-00004,Comment Added,First Approver,APPR-006,2025-03-31T00:00:00,3,Needs more detail on the business case.,True
EVT-00022,Q-2025-00004,Rejected,First Approver,APPR-006,2025-04-04T00:00:00,7,,True
EVT-00023,Q-2025-00004,Approved,First Approver,APPR-006,2025-04-03T00:00:00,6,,False
EVT-00024,Q-2025-00004,Comment Added,First Approver,APPR-006,2025-04-05T00:00:00,8,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,True
EVT-00025,Q-2025-00004,Rejected,First Approver,APPR-006,2025-04-09T00:00:00,12,Please clarify the discount rationale.,False
EVT-00026,Q-2025-00004,Resubmitted,AE,AE-023,2025-04-09T00:00:00,12,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00027,Q-2025-00005,Submitted,AE,AE-030,2025-04-14T00:00:00,0,,False
EVT-00028,Q-2025-00005,Comment Added,First Approver,APPR-003,2025-04-15T00:00:00,3,Year-1 ACV is 34% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00029,Q-2025-00005,Approved,First Approver,APPR-003,2025-04-21T00:00:00,7,,False
EVT-00030,Q-2025-00005,Approved,First Approver,APPR-003,2025-04-23T00:00:00,9,,False
EVT-00031,Q-2025-00005,Approved,First Approver,APPR-003,2025-04-25T00:00:00,11,,False
EVT-00032,Q-2025-00005,Rejected,First Approver,APPR-003,2025-04-26T00:00:00,12,Submission narrative is insufficient.,False
EVT-00033,Q-2025-00005,Resubmitted,AE,AE-030,2025-04-26T00:00:00,12,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00034,Q-2025-00006,Submitted,AE,AE-030,2025-01-31T00:00:00,0,,False
EVT-00035,Q-2025-00006,Comment Added,First Approver,APPR-007,2025-02-02T00:00:00,3,Business case is unclear. Resubmit with more context.,False
EVT-00036,Q-2025-00006,Rejected,First Approver,APPR-007,2025-02-05T00:00:00,5,,False
EVT-00037,Q-2025-00006,Comment Added,First Approver,APPR-007,2025-02-04T00:00:00,6,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00038,Q-2025-00006,Rejected,First Approver,APPR-007,2025-02-07T00:00:00,7,Please review pricing before resubmission.,False
EVT-00039,Q-2025-00006,Resubmitted,AE,AE-030,2025-02-09T00:00:00,9,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00040,Q-2025-00007,Submitted,AE,AE-039,2025-03-29T00:00:00,0,,False
EVT-00041,Q-2025-00007,Rejected,First Approver,APPR-003,2025-04-04T00:00:00,6,,False
EVT-00042,Q-2025-00007,Approved,First Approver,APPR-003,2025-04-05T00:00:00,7,,False
EVT-00043,Q-2025-00007,Comment Added,First Approver,APPR-003,2025-04-05T00:00:00,8,Please clarify the discount rationale.,False
EVT-00044,Q-2025-00007,Rejected,First Approver,APPR-003,2025-04-07T00:00:00,9,Please clarify the discount rationale.,False
EVT-00045,Q-2025-00008,Submitted,AE,AE-009,2025-02-20T00:00:00,0,,False
EVT-00046,Q-2025-00008,Rejected,First Approver,APPR-005,2025-02-24T00:00:00,4,Several items need attention — see flags.,False
EVT-00047,Q-2025-00008,Resubmitted,AE,AE-009,2025-02-24T00:00:00,4,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00048,Q-2025-00009,Submitted,AE,AE-009,2025-03-30T00:00:00,0,,False
EVT-00049,Q-2025-00009,Comment Added,First Approver,APPR-010,2025-03-31T00:00:00,3,MCCA not yet signed by customer. Cannot approve until MCCA execution confirmed.,False
EVT-00050,Q-2025-00009,Rejected,First Approver,APPR-010,2025-04-04T00:00:00,5,Business case is unclear. Resubmit with more context.,False
EVT-00051,Q-2025-00010,Submitted,AE,AE-038,2025-04-07T00:00:00,0,,False
EVT-00052,Q-2025-00010,Comment Added,First Approver,APPR-002,2025-04-09T00:00:00,2,Business justification for discount >35% is absent. Attach margin analysis.,False
EVT-00053,Q-2025-00010,Rejected,First Approver,APPR-002,2025-04-13T00:00:00,6,Please clarify the discount rationale.,False
EVT-00054,Q-2025-00010,Resubmitted,AE,AE-038,2025-04-11T00:00:00,4,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00055,Q-2025-00011,Submitted,AE,AE-038,2025-04-18T00:00:00,0,,False
EVT-00056,Q-2025-00012,Submitted,AE,AE-003,2025-05-05T00:00:00,0,,False
EVT-00057,Q-2025-00012,Comment Added,First Approver,APPR-006,2025-05-07T00:00:00,4,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00058,Q-2025-00012,Escalated,First Approver,APPR-006,2025-05-11T00:00:00,6,Escalated to Board for high-value deal approval.,False
