flag_id,quote_id,flag_code,flag_category,flag_description,triggered_by_field,triggered_by_sku,severity,status,mitigation_comment,approver_comment
FLAG-00001,Q-2025-00001,DHI-C-001,Cloud,"Contract duration outside standard range (standard is 1, 2, or 3 years)",contract_end_date,NX-ERP-HR-TNT,Blocker,Mitigated,Contract dates reviewed and confirmed with customer; 4-year term pre-approved by CFO.,DHI-C-007: SSP missing for Consumption line. Required for ASC 606 compliance. Attach SSP schedule.
FLAG-00002,Q-2025-00003,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,NX-SUP-ENT,Warning,Open,,T&C clause 8.3 is non-standard and requires Legal sign-off. Please obtain before resubmission.
FLAG-00003,Q-2025-00003,DHI-C-006,Cloud,Deprecated SKU included; customer will receive sunset notification,bom_line_item,NX-SUP-ENT,Warning,Open,,DHI-C-002: Year-1 ACV is 43% of total — must be at least 50%. Adjust phasing.
FLAG-00004,Q-2025-00003,DHI-AB-001,Cloud,Approval bypass referenced in submission notes without supporting documentation,submission_notes,NX-SUP-ENT,Blocker,Waived,,Check the terms again.
FLAG-00005,Q-2025-00003,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,NX-SUP-ENT,Blocker,Open,,Needs more detail on the business case.
FLAG-00006,Q-2025-00004,DHI-OP-001,On-Premise,Maintenance rate below SAP standard (18% of net licence value),maintenance_rate,,Warning,Waived,,Please review pricing before resubmission.
FLAG-00007,Q-2025-00004,DHI-C-005,Cloud,One or more SKUs priced below the Lower Eligibility Price (LEP) floor,net_price_per_unit,,Blocker,Mitigated,Pricing corrected to LEP floor; resubmission pending.,Please address the flagged items.
FLAG-00008,Q-2025-00004,DHI-C-008,Cloud,Mixed Perpetual and Subscription lines on same BOM without revenue allocation schedule,bom_line_item,,Warning,Mitigated,Revenue allocation schedule attached; legal reviewed.,Pricing not aligned with policy.
FLAG-00009,Q-2025-00004,DHI-C-003,Cloud,Auto-attached AI unit present without explicit inclusion rationale,bom_line_item,,Warning,Mitigated,AI unit inclusion confirmed with customer; business case attached.,Some concerns here — please revise.
FLAG-00010,Q-2025-00005,DHI-C-002,Cloud,Year-1 ACV below 50% of total ACV — phasing rule violated,phase_builder,NX-SUP-ENT,Blocker,Mitigated,Year-1 ACV adjusted to meet 50% threshold; phasing rebalanced.,Please address the flagged items.
FLAG-00011,Q-2025-00005,DHI-C-007,Cloud,Consumption/Subscription+Overage line missing SSP documentation required for ASC 606,ssp_field,,Blocker,Mitigated,SSP documentation added to quote record; allocation schedule prepared.,DHI-C-002: Year-1 ACV is 46% of total — must be at least 50%. Adjust phasing.
